year,incidents,deaths
1990,1625524.87,43500
1991,1697072.08,43800
1992,1763082.42,44000
1993,1827096.92,44600
1994,1875580.7,44900
1995,1915769.55,45100
1996,1937757.11,44700
1997,1949758.44,44100
1998,1956063.33,43900
1999,1963266.09,43800
2000,1976208.22,43800
2001,1990702.93,43900
2002,2000845.49,43900
2003,2010417.97,43800
2004,2017281.06,43500
2005,2034279.72,43200
2006,2046374.24,42900
2007,2055840.48,42800
2008,2067915.64,43100
2009,2083667.48,43500
2010,2105441.63,43900
2011,2134932.19,44400
2012,2163125.94,44900
2013,2192377.53,45600
2014,2222937.36,46400
2015,2257536.37,47700
2016,2295019.9,48800
2017,2332450.67,45076